travel_date,line_name,direction,passengers,sales_amount,sales_count,refund_count,refund_amount,seats,train_operations
2025-09-01,강릉선,상행,6068,213410400,8185,3262,73220600,7620,20
2025-09-01,강릉선,하행,5813,198017700,8059,3196,64952700,7620,20
2025-09-01,경부선,상행,43157,2461027400,57688,21462,787518200,48975,56
2025-09-01,경부선,하행,39327,2210051800,50619,18875,688374000,48461,56
2025-09-01,경전선,상행,7223,431820400,10458,4074,149723200,9369,14
2025-09-01,경전선,하행,8970,518685500,12711,5084,180831500,8793,14
2025-09-01,동해선,상행,6434,326289200,8776,3213,101733300,7475,15
2025-09-01,동해선,하행,6750,328947700,9286,3431,103343200,7475,15
2025-09-01,전라선,상행,8258,411473400,11521,4461,140768400,11007,18
2025-09-01,전라선,하행,8966,436377600,12552,4992,148652700,11038,18
2025-09-01,중부내륙선,상행,537,7680000,545,102,1143300,1524,4
2025-09-01,중부내륙선,하행,604,9093300,674,147,1779700,1524,4
2025-09-01,중앙선,상행,3164,90626200,3992,1243,24338800,3048,8
2025-09-01,중앙선,하행,2856,85977400,3861,1374,26080000,3048,8
2025-09-01,호남선,상행,12440,662137900,17142,6160,207519000,18515,28
2025-09-01,호남선,하행,12731,679419500,17359,6319,212000800,18484,28
2025-09-02,강릉선,상행,5190,169361400,6498,2238,50820800,7620,20
2025-09-02,강릉선,하행,5010,165064300,6635,2506,51466800,7620,20
2025-09-02,경부선,상행,37581,2030278400,47814,17279,620898300,48461,56
2025-09-02,경부선,하행,36903,1994008500,45314,16272,595732200,47444,55
2025-09-02,경전선,상행,7058,395390200,9592,3554,127877400,8793,14
2025-09-02,경전선,하행,8296,430789600,11209,4110,136901300,8793,14
2025-09-02,동해선,상행,6211,306257300,8312,3022,94876600,7506,15
2025-09-02,동해선,하행,6370,301908600,8394,3012,93948300,7506,15
2025-09-02,전라선,상행,8107,381455800,10779,4073,123566400,11007,18
2025-09-02,전라선,하행,7952,382557700,10911,4101,125345600,11038,18
2025-09-02,중부내륙선,상행,470,7021800,469,82,1216200,1524,4
2025-09-02,중부내륙선,하행,534,7497500,543,89,1196400,1524,4
2025-09-02,중앙선,상행,2611,68276500,3238,1018,17586800,3048,8
2025-09-02,중앙선,하행,2242,64396700,2871,970,18535300,3048,8
2025-09-02,호남선,상행,11440,606455500,15434,5454,187352900,18484,28
2025-09-02,호남선,하행,11167,593655400,14641,5113,180023600,18484,28
2025-09-03,강릉선,상행,5375,176646900,6788,2374,53982900,7620,20
2025-09-03,강릉선,하행,5158,174707900,6859,2739,57968100,7620,20
2025-09-03,경부선,상행,40286,2172615000,51764,19125,674566600,48399,56
2025-09-03,경부선,하행,40024,2172384600,49256,17853,656969800,47444,55
2025-09-03,경전선,상행,7471,440098900,10535,4297,152726200,8793,14
2025-09-03,경전선,하행,8948,484786300,12466,4876,165829800,8793,14
2025-09-03,동해선,상행,6583,316862900,8958,3431,99021900,7506,15
2025-09-03,동해선,하행,6826,318441800,9138,3353,98141500,7506,15
2025-09-03,전라선,상행,8582,405592000,11645,4567,135368100,11102,18
2025-09-03,전라선,하행,8599,406880000,11383,4294,134963600,11102,18
2025-09-03,중부내륙선,상행,513,7415700,584,132,1296500,1524,4
2025-09-03,중부내륙선,하행,415,6020400,453,89,980600,1524,4
2025-09-03,중앙선,상행,2765,73947400,3411,1106,19462800,3048,8
2025-09-03,중앙선,하행,2381,70526500,3017,1056,21172200,3048,8
2025-09-03,호남선,상행,12437,669563000,17022,6472,217102000,18453,28
2025-09-03,호남선,하행,11818,634932200,15620,5680,196687100,18453,28
2025-09-04,강릉선,상행,5908,193777400,8167,3130,63546400,7620,20
2025-09-04,강릉선,하행,5520,192547300,7830,3346,67305500,7620,20
2025-09-04,경부선,상행,44758,2485039900,59250,23011,815223500,48399,56
2025-09-04,경부선,하행,45367,2568862400,57816,22627,841942800,47444,55
2025-09-04,경전선,상행,8513,504517000,12445,5163,178401900,8762,14
2025-09-04,경전선,하행,9792,528937400,13906,5637,184698300,8762,14
2025-09-04,동해선,상행,7594,387265900,10598,4247,127992400,7506,15
2025-09-04,동해선,하행,7477,367968300,10145,3974,119868800,7506,15
2025-09-04,전라선,상행,9795,462873300,13710,5470,159931900,11007,18
2025-09-04,전라선,하행,9460,464985400,13248,5483,164076800,11038,18
2025-09-04,중부내륙선,상행,737,10179100,881,197,1846300,1524,4
2025-09-04,중부내륙선,하행,468,7368900,535,124,1541800,1524,4
2025-09-04,중앙선,상행,3271,87086500,4484,1673,25720600,3048,8
2025-09-04,중앙선,하행,2743,82251000,3668,1367,24789700,3048,8
2025-09-04,호남선,상행,14008,784193100,20015,8041,274443400,18484,28
2025-09-04,호남선,하행,13359,740030500,18346,7088,242449700,18484,28
2025-09-05,강릉선,상행,8465,287816900,12236,5707,98540100,10287,27
2025-09-05,강릉선,하행,9574,363553000,14515,7885,143783500,10287,27
2025-09-05,경부선,상행,62783,3590431700,91608,42630,1253367500,59422,69
2025-09-05,경부선,하행,71408,4334993400,105594,51411,1572272500,58088,67
2025-09-05,경전선,상행,13312,779053500,21377,10775,292719600,10309,18
2025-09-05,경전선,하행,13128,711645000,20448,10330,263750900,10278,18
