id,date,package_name,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,total_user_installs,daily_user_installs,daily_user_uninstalls,active_device_installs,inserted_at,updated_at,install_events,update_events,uninstall_events
1,2025-04-20,com.korail.talk,10758,0,0,0,4898,3415,11032214,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,13427,60897,4283
2,2025-04-21,com.korail.talk,12872,0,0,0,5131,3533,11025971,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,15841,58309,4450
3,2025-04-22,com.korail.talk,12635,0,0,0,5281,3883,11012561,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,15949,54717,4967
4,2025-04-23,com.korail.talk,12399,0,0,0,5126,3942,11002235,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,15821,82553,4935
5,2025-04-24,com.korail.talk,12390,0,0,0,5124,3960,10999557,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,15925,1761059,4986
6,2025-04-25,com.korail.talk,14677,0,0,0,5494,4595,11002229,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,18301,1107726,5721
7,2025-04-26,com.korail.talk,13455,0,0,0,5161,3804,11005050,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,16532,443869,4948
8,2025-04-27,com.korail.talk,12997,0,0,0,5409,3811,11005928,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,15902,267972,4850
9,2025-04-28,com.korail.talk,17923,0,0,0,6086,4163,11011651,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,20941,144022,5234
10,2025-04-29,com.korail.talk,16932,0,0,0,5981,4182,11020446,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,20169,104087,5399
11,2025-04-30,com.korail.talk,17593,0,0,0,6056,4331,11026948,2025-09-19 06:38:40.030954+00,2025-09-19 06:38:40.030954+00,21103,94675,5596
