id,date,package_name,daily_avg_rating,total_avg_rating,inserted_at,updated_at
1,2025-04-22,com.korail.talk,3.38,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
2,2025-04-23,com.korail.talk,4.71,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
3,2025-04-24,com.korail.talk,3.25,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
4,2025-04-25,com.korail.talk,3.86,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
5,2025-04-26,com.korail.talk,5.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
6,2025-04-27,com.korail.talk,4.50,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
7,2025-04-28,com.korail.talk,3.50,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
8,2025-04-29,com.korail.talk,3.40,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
9,2025-04-30,com.korail.talk,4.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
10,2025-05-01,com.korail.talk,3.67,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
11,2025-05-02,com.korail.talk,4.40,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
12,2025-05-03,com.korail.talk,4.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
13,2025-05-04,com.korail.talk,4.20,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
14,2025-05-05,com.korail.talk,4.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
15,2025-05-06,com.korail.talk,2.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
16,2025-05-07,com.korail.talk,3.57,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
17,2025-05-08,com.korail.talk,4.50,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
18,2025-05-09,com.korail.talk,5.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
19,2025-05-10,com.korail.talk,4.67,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
20,2025-05-11,com.korail.talk,3.50,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
21,2025-05-12,com.korail.talk,3.80,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
22,2025-05-13,com.korail.talk,4.80,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
23,2025-05-14,com.korail.talk,4.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
24,2025-05-15,com.korail.talk,4.20,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
25,2025-05-16,com.korail.talk,3.40,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
26,2025-05-17,com.korail.talk,1.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
27,2025-05-18,com.korail.talk,4.13,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
28,2025-05-19,com.korail.talk,5.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
29,2025-05-20,com.korail.talk,4.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
30,2025-05-21,com.korail.talk,3.80,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
31,2025-05-22,com.korail.talk,4.50,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
32,2025-05-23,com.korail.talk,3.40,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
33,2025-05-24,com.korail.talk,3.60,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
34,2025-05-25,com.korail.talk,3.33,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
35,2025-05-26,com.korail.talk,4.00,3.91,2025-09-19 07:29:21.526157+00,2025-09-19 07:29:21.526157+00
