id,game_date,home_team,away_team,stadium,region,note
1,2015-03-28,KIA,LG,광주,광주,
2,2015-03-28,넥센,한화,목동,서울,
3,2015-03-28,두산,NC,잠실,서울,
4,2015-03-28,롯데,KT,사직,부산,
5,2015-03-28,삼성,SK,대구,대구,
6,2015-03-29,KIA,LG,광주,광주,
7,2015-03-29,넥센,한화,목동,서울,
8,2015-03-29,두산,NC,잠실,서울,
9,2015-03-29,롯데,KT,사직,부산,
10,2015-03-29,삼성,SK,대구,대구,
11,2015-03-31,KT,삼성,수원,수원,
12,2015-03-31,LG,롯데,잠실,서울,
13,2015-03-31,NC,넥센,마산,마산,우천취소
14,2015-03-31,SK,KIA,문학,인천,우천취소
15,2015-03-31,한화,두산,한밭,대전,우천취소
16,2015-04-01,KT,삼성,수원,수원,
17,2015-04-01,LG,롯데,잠실,서울,
18,2015-04-01,NC,넥센,마산,마산,
19,2015-04-01,SK,KIA,문학,인천,
20,2015-04-01,한화,두산,대전,대전,
21,2015-04-02,KT,삼성,수원,수원,우천취소
22,2015-04-02,LG,롯데,잠실,서울,우천취소
23,2015-04-02,NC,넥센,마산,마산,우천취소
24,2015-04-02,SK,KIA,문학,인천,우천취소
25,2015-04-02,한화,두산,대전,대전,
26,2015-04-03,KT,KIA,수원,수원,
27,2015-04-03,LG,삼성,잠실,서울,
28,2015-04-03,NC,한화,마산,마산,
29,2015-04-03,넥센,SK,목동,서울,
30,2015-04-03,롯데,두산,사직,부산,
31,2015-04-04,KT,KIA,수원,수원,
32,2015-04-04,LG,삼성,잠실,서울,
33,2015-04-04,NC,한화,마산,마산,우천취소
34,2015-04-04,넥센,SK,목동,서울,
35,2015-04-04,롯데,두산,사직,부산,우천취소
36,2015-04-05,KT,KIA,수원,수원,
37,2015-04-05,LG,삼성,잠실,서울,
38,2015-04-05,NC,한화,마산,마산,
39,2015-04-05,넥센,SK,목동,서울,
40,2015-04-05,롯데,두산,사직,부산,
41,2015-04-07,KIA,NC,광주,광주,
42,2015-04-07,SK,KT,문학,인천,
43,2015-04-07,두산,넥센,잠실,서울,
44,2015-04-07,삼성,롯데,대구,대구,
45,2015-04-07,한화,LG,대전,대전,
46,2015-04-08,KIA,NC,광주,광주,
47,2015-04-08,SK,KT,문학,인천,
48,2015-04-08,두산,넥센,잠실,서울,
49,2015-04-08,삼성,롯데,대구,대구,
50,2015-04-08,한화,LG,대전,대전,
51,2015-04-09,KIA,NC,광주,광주,
52,2015-04-09,SK,KT,문학,인천,
53,2015-04-09,두산,넥센,잠실,서울,
54,2015-04-09,삼성,롯데,대구,대구,
55,2015-04-09,한화,LG,대전,대전,
56,2015-04-10,LG,두산,잠실,서울,
57,2015-04-10,NC,SK,마산,마산,
58,2015-04-10,넥센,KT,목동,서울,
59,2015-04-10,롯데,한화,사직,부산,
60,2015-04-10,삼성,KIA,대구,대구,
61,2015-04-11,LG,두산,잠실,서울,
62,2015-04-11,NC,SK,마산,마산,
63,2015-04-11,넥센,KT,목동,서울,
64,2015-04-11,롯데,한화,사직,부산,
65,2015-04-11,삼성,KIA,대구,대구,
66,2015-04-12,LG,두산,잠실,서울,
67,2015-04-12,NC,SK,마산,마산,
68,2015-04-12,넥센,KT,목동,서울,
69,2015-04-12,롯데,한화,사직,부산,
70,2015-04-12,삼성,KIA,대구,대구,
71,2015-04-14,KT,두산,수원,수원,
72,2015-04-14,LG,KIA,잠실,서울,우천취소
73,2015-04-14,SK,넥센,문학,인천,우천취소
74,2015-04-14,롯데,NC,사직,부산,
75,2015-04-14,한화,삼성,대전,대전,
76,2015-04-15,KT,두산,수원,수원,
77,2015-04-15,LG,KIA,잠실,서울,
78,2015-04-15,SK,넥센,문학,인천,
79,2015-04-15,롯데,NC,사직,부산,
80,2015-04-15,한화,삼성,대전,대전,
81,2015-04-16,KT,두산,수원,수원,우천취소
82,2015-04-16,LG,KIA,잠실,서울,
83,2015-04-16,SK,넥센,문학,인천,
84,2015-04-16,롯데,NC,사직,부산,
85,2015-04-16,한화,삼성,한밭,대전,우천취소
86,2015-04-17,KIA,넥센,광주,광주,
