id,raw_no,lang,category,venue,event_name,period_raw,host_organizer,start_date,end_date
1,1,국문,전시일정,제1전시장 3홀,2020 30회 부산유아교육용품전,20200130 1000~20200202 1800,(주)블루케이,2020-01-30,2020-02-02
2,2,국문,전시일정,제1전시장 3A홀,2020 BWC부산웨딩박람회,20200207 1000~20200209 1900,주식회사 비더블류씨,2020-02-07,2020-02-09
3,3,국문,전시일정,"제 2전시장 4(E,F)홀",2020 KNN 웨딩박람회,20200515 1100~20200517 1900,더리본 주식회사,2020-05-15,2020-05-17
4,4,국문,전시일정,제 1전시장 2A홀,2020부산홈리빙&생활용품전시회,20200521 1000~20200524 1800,(주)메세코리아,2020-05-21,2020-05-24
5,5,국문,전시일정,제 1전시장 1홀,2020 부산베이비페어,20200521 1000~20200524 1800,(주)메세코리아,2020-05-21,2020-05-24
6,6,국문,전시일정,제 1전시장 1홀,2020 코리아캠핑카쇼,20200528 1000~20200531 1800,한국레저자동차산업협회 / 벡스코,2020-05-28,2020-05-31
7,7,국문,전시일정,"제 2전시장 4(A,B)홀",2020 더골프쇼 in 부산 Spring,20200528 1000~20200531 1800,(주)이엑스스포테인먼트,2020-05-28,2020-05-31
8,8,국문,전시일정,제 1전시장 3A홀,제27회 2020부산창업박람회,20200528 1000~20200530 0000,선인커뮤니티(주),2020-05-28,2020-05-30
9,9,국문,전시일정,제 1전시장 3B홀,농특산품 및 우수중소기업 상품박람회,20200529 1000~20200602 1800,새벽을 여는 사람들,2020-05-29,2020-06-02
10,10,국문,전시일정,제 1전시장 2홀,2020 대한민국펫산업박람회 (케이펫페어부산),20200529 1000~20200531 1800,"(사)한국펫사료협회 / ㈜메쎄이상 ",2020-05-29,2020-05-31
11,11,국문,전시일정,제 2전시장 5(B-E)홀,상상체험+레이싱 키즈월드 시즌4,20200605 0000~20200819 1800,주식회사 제이투비,2020-06-05,2020-08-19
12,12,국문,전시일정,제1전시장 2B홀,2020 부산건축박람회,20200612 1000~20200614 1800,(주)동아전람,2020-06-12,2020-06-14
13,13,국문,전시일정,제1전시장 3A홀,2020 부산문구·완구및사무용품·기프트쇼,20200612 1000~20200614 1800,(주)동아전람,2020-06-12,2020-06-14
14,14,국문,전시일정,제1전시장 3B홀,2020 부산스포츠·레저산업박람회,20200612 1000~20200614 1800,(주)동아전람,2020-06-12,2020-06-14
15,15,국문,전시일정,제1전시장 1홀,2020 제27회 국제식품대전,20200617 1000~20200620 1700,"부산광역시,한국보건산업진흥원,한국식품관리인증원,(사)한국외식산업협회,Qingdao Qishenglong Business Co., Ltd.,한국산업마케팅연구원",2020-06-17,2020-06-20
