id,year,event_type,event_category,event_field,event_name,event_subtitle,start_date,end_date,venue,host,organizer
1,2025,Exhibition,일반 전시,교육/출판,2025 맘스홀릭베이비 페어,2025 MOMSHOLICBABY FAIR,2025-01-09,2025-01-12,Hall A,무료,주식회사 엠씨커뮤니케이션즈
2,2025,Exhibition,일반 전시,기타,2025 춘계 웨덱스 웨딩 박람회,2025 WEDDEX KOREA SPRING,2025-01-11,2025-01-12,Hall B2,"10,000원",서울전람(주)
3,2025,Exhibition,일반 전시,공연/이벤트,포켓몬 카드 게임 2025 코리안리그 시즌2," Pokémon Card Game 2025 Korean League Season 2",2025-01-11,2025-01-12,Hall B1,무료,(주)포켓몬코리아
4,2025,Exhibition,일반 전시,의료/건강/스포츠,2025 개원및경영정보박람회&amp;컨퍼런스,Dental Opening Information Exhibition &amp; Conference 2025,2025-01-12,2025-01-12,Hall D,"10,000원","대한공중보건치과의사협의회, (주)네오엑스포"
5,2025,Exhibition,일반 전시,교육/출판,제22회 대한민국 교육박람회,Education Korea 2025,2025-01-15,2025-01-17,"Hall A, B","사전등록 8,000원 / 현장등록 15,000원","(사)한국교육녹색환경연구원, 엑스포럼"
6,2025,Exhibition,일반 전시,예술/디자인,월드아트엑스포 2025,World Art Expo 2025,2025-01-16,2025-01-19,Hall C,"2025. 1. 10(금) 까지 신청 시 50% 사전예약 혜택가로 티켓 구매가 가능합니다.



관람등록 후 티켓을 구매해야합니다.



일반 20,000



학생(대학생까지,대학원생 불가) 10,000

*학생증제시



경로우대(만65세이상) 10,000

*신분증제시



장애인(1~3급) 10,000

*복지카드제시 *동반1인도 동일가 적용



한국미술협회 회원 무료

*회원증 제시



기자 무료

*신분증,명함제시",IAA한국위원회
7,2025,Exhibition,일반 전시,기타,2025 가낳지모 캣페어,KANAJIMO CAT FAIR,2025-01-17,2025-01-19,Hall D,"10,000원",(사)한국펫사료협회
8,2025,Exhibition,일반 전시,의료/건강/스포츠,제9회 서울 건강산업 박람회 / 제6회 서울 오피스가구 및 오피스페어,The 9th Seoul Health Industry EXPO / The 6th SEOUL OFFICE FURNITURE &amp; OFFICE FAIR,2025-01-22,2025-01-24,Hall C,"10,000원(홈페이지 사전 등록시 무료)",(주)동아전람
9,2025,Exhibition,일반 전시,건설/건축/인테리어,2025 대한민국 조경*정원 박람회,KOREA LANDSCAPE * GARDEN EXPO 2025,2025-01-22,2025-01-25,Hall B,"10,000원(홈페이지 사전 등록 시 무료)","(주)동아전람, (사)한국조경협회"
10,2025,Exhibition,일반 전시,건설/건축/인테리어,2025 하우징브랜드페어 / 2025 툴&amp;세이프티쇼,Housing Brand Fair 2025 / Tool &amp; Safety Show 2025,2025-01-22,2025-01-25,Hall A,"10,000원(홈페이지 사전등록 시 무료)",(주)동아전람
11,2025,Exhibition,일반 전시,기타,제76회 프랜차이즈 창업박람회 2025,76th World Franchise Expo 2025,2025-01-23,2025-01-25,Hall D,"온라인 사전등록자 및 초청장 소지자 : 무료 / 현장등록자 : 10,000원",(주)월드전람
12,2025,Exhibition,일반 전시,교육/출판,2025 상반기 해외 유학 이민 박람회,International Education &amp; Emigration Fair 2025,2025-02-01,2025-02-02,Hall A,"온라인-무료, 현장-10,000원",한국전람(주)
