id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1,시크릿쥬쥬:  레인보우콘서트 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,시크릿쥬쥬:  레인보우콘서트 [부산]|2015-10-08,2015,10,8,2015,10,8
2,슈퍼콘서트: 토요일을 즐겨라 [서울(앵콜)],대중음악,서울월드컵경기장,66704,서울,슈퍼콘서트: 토요일을 즐겨라 [서울(앵콜)]|2015-09-19,2015,9,19,2015,9,19
3,아이스 매직 페스티벌: 디즈니 온 아이스,복합,목동 아이스링크,5000,서울,아이스 매직 페스티벌: 디즈니 온 아이스|2015-10-14,2015,10,14,2015,10,25
4,언프리티 랩스타 콘서트 [대구],대중음악,엑스코(exco),9000,대구,언프리티 랩스타 콘서트 [대구]|2015-05-30,2015,5,30,2015,5,30
5,슈퍼콘서트 : 토요일을 즐겨라! [대구],대중음악,대구스타디움,66422,대구,슈퍼콘서트 : 토요일을 즐겨라! [대구]|2015-07-18,2015,7,18,2015,7,18
6,이승환 콘서트 : 공연의 기원：ORIGIN [대구],대중음악,엑스코(exco),9000,대구,이승환 콘서트 : 공연의 기원：ORIGIN [대구]|2015-12-31,2015,12,31,2015,12,31
7,박진영 나쁜파티: STRIP [대구],대중음악,엑스코(exco),9000,대구,박진영 나쁜파티: STRIP [대구]|2015-12-20,2015,12,20,2015,12,20
8,쿨 20주년 기념 콘서트: 안녕들 한가요? [부천],대중음악,부천실내체육관,5403,경기,쿨 20주년 기념 콘서트: 안녕들 한가요? [부천]|2015-01-17,2015,1,17,2015,1,17
9,볼쇼이 온 아이스,뮤지컬,목동 아이스링크,5000,서울,볼쇼이 온 아이스|2015-04-28,2015,4,28,2015,5,24
10,나는 독도다,무용(서양/한국무용),경희대학교 평화의전당,4500,서울,나는 독도다|2015-05-16,2015,5,16,2015,5,16
11,슈퍼콘서트 : 토요일을 즐겨라! [부산],대중음악,부산아시아드 경기장,53769,부산,슈퍼콘서트 : 토요일을 즐겨라! [부산]|2015-05-30,2015,5,30,2015,5,30
12,god 콘서트 [부산],대중음악,벡스코 (BEXCO),18000,부산,god 콘서트 [부산]|2015-12-30,2015,12,30,2015,12,31
13,YB 20주년 콘서트 : 스무살 [부산],대중음악,벡스코 (BEXCO),4002,부산,YB 20주년 콘서트 : 스무살 [부산]|2015-12-24,2015,12,24,2015,12,24
14,박진영 나쁜파티 : STRIP [부산],대중음악,벡스코 (BEXCO),18000,부산,박진영 나쁜파티 : STRIP [부산]|2015-12-19,2015,12,19,2015,12,19
15,"박정현＋플라이투더스카이 콘서XM : 그 해, 겨울",대중음악,벡스코 (BEXCO),18000,부산,"박정현＋플라이투더스카이 콘서XM : 그 해, 겨울|2015-12-26",2015,12,26,2015,12,26
16,DJ.DOC 대중음악탕 : 싸우나 파티 [부산],대중음악,부산사직실내체육관,14099,부산,DJ.DOC 대중음악탕 : 싸우나 파티 [부산]|2015-12-24,2015,12,24,2015,12,24
17,번개맨과 비밀의 문,뮤지컬,벡스코 (BEXCO),4002,부산,번개맨과 비밀의 문|2015-10-24,2015,10,24,2015,10,25
18,더 블루: Hyper Facade Fantastic Show,뮤지컬,신세계 영랑호 리조트 [속초],4000,강원,더 블루: Hyper Facade Fantastic Show|2015-07-18,2015,7,18,2015,8,23
19,"사색동화(4色同化) 콘서트 with 김태우, 마마무, 김연지, 빅브레인",대중음악,경희대학교 평화의전당,4500,서울,"사색동화(4色同化) 콘서트 with 김태우, 마마무, 김연지, 빅브레인|2016-10-15",2016,10,15,2016,10,16
20,"만9,900원의 행복콘서트 [서울]",대중음악,경희대학교 평화의전당,4500,서울,"만9,900원의 행복콘서트 [서울]|2016-12-17",2016,12,17,2016,12,18
21,터보 콘서트: AGAIN [부산],대중음악,벡스코 (BEXCO),18000,부산,터보 콘서트: AGAIN [부산]|2016-04-02,2016,4,2,2016,4,2
22,장윤정콘서트 [부천],대중음악,부천실내체육관,5403,경기,장윤정콘서트 [부천]|2016-03-26,2016,3,26,2016,3,26
23,비틀즈 링고스타 And His All Starr Band 내한공연,대중음악,잠실종합운동장,11032,서울,비틀즈 링고스타 And His All Starr Band 내한공연|2016-11-05,2016,11,5,2016,11,5
24,프란츠 하라리 내한공연: GRAND ILLUSION,서커스/마술,장충체육관,4507,서울,프란츠 하라리 내한공연: GRAND ILLUSION|2016-04-15,2016,4,15,2016,4,27
25,이승철 데뷔 30주년 기념 콘서트: 무궁화 삼천리 [울산],대중음악,울산동천체육관,5831,울산,이승철 데뷔 30주년 기념 콘서트: 무궁화 삼천리 [울산]|2016-11-12,2016,11,12,2016,11,12
26,DJ DOC 콘서트: 겨울 운동회 [부산],대중음악,부산사직실내체육관,14099,부산,DJ DOC 콘서트: 겨울 운동회 [부산]|2016-12-24,2016,12,24,2016,12,24
27,박정현 연말 콘서트: LET IT SNOW [부산],대중음악,벡스코 (BEXCO),4002,부산,박정현 연말 콘서트: LET IT SNOW [부산]|2016-12-30,2016,12,30,2016,12,31
28,엠씨더맥스 연말 콘서트: 겨울나기 [부산],대중음악,사직종합운동장,12995,부산,엠씨더맥스 연말 콘서트: 겨울나기 [부산]|2016-12-31,2016,12,31,2016,12,31
29,"제15회 전주세계소리축제, 월드뮤직빅파티",대중음악,한국소리문화의전당,7000,전북,"제15회 전주세계소리축제, 월드뮤직빅파티|2016-10-01",2016,10,1,2016,10,1
30,막심 므라비차 오케스트라 콘서트 [부산],서양음악(클래식),벡스코 (BEXCO),4002,부산,막심 므라비차 오케스트라 콘서트 [부산]|2016-05-14,2016,5,14,2016,5,14
31,조항조&박상민&장윤정의 문화사랑 콘서트,대중음악,제주종합경기장,5400,제주,조항조&박상민&장윤정의 문화사랑 콘서트|2017-12-24,2017,12,24,2017,12,24
32,정준일 오케스트라 콘서트,대중음악,경희대학교 평화의전당,4500,서울,정준일 오케스트라 콘서트|2017-12-02,2017,12,2,2017,12,3
33,김건모 25TH Anniversary Tour [인천],대중음악,인천남동체육관,8828,인천,김건모 25TH Anniversary Tour [인천]|2017-02-11,2017,2,11,2017,2,11
34,김광석 다시부르기 [수원],대중음악,수원종합운동장,5145,경기,김광석 다시부르기 [수원]|2017-12-30,2017,12,30,2017,12,30
35,리차드막스 단독 내한공연 [서울],대중음악,연세대학교 노천극장,7500,서울,리차드막스 단독 내한공연 [서울]|2017-06-03,2017,6,3,2017,6,3
36,"2017 김경호 전국투어 콘서트, The Show Must Go On",대중음악,경희대학교 평화의전당,4500,서울,"2017 김경호 전국투어 콘서트, The Show Must Go On|2017-05-13",2017,5,13,2017,5,13
37,리차드막스 RICHARD MARX 로맨틱콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,리차드막스 RICHARD MARX 로맨틱콘서트 [부산]|2017-06-04,2017,6,4,2017,6,4
38,라쿤 영 페스티벌 [부산],대중음악,(재) 영화의전당,4000,부산,라쿤 영 페스티벌 [부산]|2017-08-26,2017,8,26,2017,8,26
39,나훈아 DREAM 콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,나훈아 DREAM 콘서트 [부산]|2017-11-24,2017,11,24,2017,11,26
40,"With, Antenna. The Label Concert 2017 [부산]",대중음악,벡스코 (BEXCO),4002,부산,"With, Antenna. The Label Concert 2017 [부산]|2017-09-09",2017,9,9,2017,9,9
41,SHINee Debut 9th Anniversary Special Party!: ☆ SHINee DAY,대중음악,고려대학교 화정체육관,8057,서울,SHINee Debut 9th Anniversary Special Party!: ☆ SHINee DAY|2017-05-21,2017,5,21,2017,5,21
42,국제신문 창간 70주년 기념 MEGA CONCERT: 국카스텐 & 숙행 [부산],대중음악,벡스코 (BEXCO),4002,부산,국제신문 창간 70주년 기념 MEGA CONCERT: 국카스텐 & 숙행 [부산]|2017-03-03,2017,3,3,2017,3,3
43,전주얼티밋뮤직페스티벌,대중음악,전주종합경기장,30000,전북,전주얼티밋뮤직페스티벌|2017-08-04,2017,8,4,2017,8,6
44,영암모터락페스티벌,대중음악,국제자동차경주장,16138,전남,영암모터락페스티벌|2017-04-29,2017,4,29,2017,4,30
45,한일SUPER ROCK : Great Meeting [서울],대중음악,장충체육관,4507,서울,한일SUPER ROCK : Great Meeting [서울]|2017-07-01,2017,7,1,2017,7,1
46,인천 펜타포트 락 페스티벌,대중음악,송도달빛축제공원,30000,인천,인천 펜타포트 락 페스티벌|2017-08-11,2017,8,11,2017,8,13
47,"현대카드 컬처프로젝트 25, 아리아나 그란데(Ariana Grande)",대중음악,고척스카이돔,16744,서울,"현대카드 컬처프로젝트 25, 아리아나 그란데(Ariana Grande)|2017-08-15",2017,8,15,2017,8,15
48,더 바이브 패밀리 콘서트 [전주],대중음악,한국소리문화의전당,7000,전북,더 바이브 패밀리 콘서트 [전주]|2017-10-14,2017,10,14,2017,10,14
