trade_date,usdkrw,year,month,day
2015-01-02,1099.20,2015,1,2
2015-01-05,1102.60,2015,1,5
2015-01-06,1108.70,2015,1,6
2015-01-07,1103.90,2015,1,7
2015-01-08,1099.70,2015,1,8
2015-01-09,1098.50,2015,1,9
2015-01-12,1092.20,2015,1,12
2015-01-13,1083.00,2015,1,13
2015-01-14,1081.50,2015,1,14
2015-01-15,1079.90,2015,1,15
2015-01-16,1084.10,2015,1,16
2015-01-19,1077.30,2015,1,19
2015-01-20,1079.80,2015,1,20
2015-01-21,1084.40,2015,1,21
2015-01-22,1086.80,2015,1,22
2015-01-23,1085.30,2015,1,23
2015-01-26,1084.10,2015,1,26
2015-01-27,1079.30,2015,1,27
2015-01-28,1082.10,2015,1,28
2015-01-29,1082.90,2015,1,29
2015-01-30,1090.80,2015,1,30
2015-02-02,1095.90,2015,2,2
2015-02-03,1101.20,2015,2,3
2015-02-04,1098.30,2015,2,4
2015-02-05,1089.20,2015,2,5
2015-02-06,1089.20,2015,2,6
2015-02-09,1088.30,2015,2,9
2015-02-10,1097.00,2015,2,10
2015-02-11,1090.80,2015,2,11
2015-02-12,1096.90,2015,2,12
2015-02-13,1107.50,2015,2,13
2015-02-16,1098.40,2015,2,16
2015-02-17,1098.70,2015,2,17
2015-02-23,1101.30,2015,2,23
2015-02-24,1109.80,2015,2,24
2015-02-25,1108.60,2015,2,25
2015-02-26,1102.50,2015,2,26
2015-02-27,1099.20,2015,2,27
2015-03-02,1099.50,2015,3,2
2015-03-03,1102.50,2015,3,3
2015-03-04,1100.00,2015,3,4
2015-03-05,1096.50,2015,3,5
2015-03-06,1100.10,2015,3,6
2015-03-09,1099.50,2015,3,9
2015-03-10,1110.30,2015,3,10
2015-03-11,1119.50,2015,3,11
2015-03-12,1126.60,2015,3,12
2015-03-13,1130.90,2015,3,13
2015-03-16,1125.60,2015,3,16
2015-03-17,1133.90,2015,3,17
2015-03-18,1130.10,2015,3,18
2015-03-19,1126.60,2015,3,19
2015-03-20,1114.00,2015,3,20
2015-03-23,1121.70,2015,3,23
2015-03-24,1115.90,2015,3,24
2015-03-25,1107.10,2015,3,25
2015-03-26,1102.70,2015,3,26
2015-03-27,1104.20,2015,3,27
2015-03-30,1104.30,2015,3,30
2015-03-31,1105.00,2015,3,31
2015-04-01,1109.40,2015,4,1
2015-04-02,1103.80,2015,4,2
2015-04-03,1098.00,2015,4,3
2015-04-06,1094.60,2015,4,6
2015-04-07,1086.00,2015,4,7
2015-04-08,1089.70,2015,4,8
2015-04-09,1093.40,2015,4,9
2015-04-10,1093.90,2015,4,10
2015-04-13,1094.60,2015,4,13
2015-04-14,1096.60,2015,4,14
2015-04-15,1096.80,2015,4,15
2015-04-16,1096.00,2015,4,16
2015-04-17,1089.00,2015,4,17
2015-04-20,1085.10,2015,4,20
2015-04-21,1082.70,2015,4,21
2015-04-22,1083.50,2015,4,22
2015-04-23,1081.80,2015,4,23
2015-04-24,1083.20,2015,4,24
2015-04-27,1079.00,2015,4,27
2015-04-28,1074.50,2015,4,28
2015-04-29,1070.90,2015,4,29
2015-04-30,1068.10,2015,4,30
2015-05-04,1069.50,2015,5,4
2015-05-06,1080.50,2015,5,6
2015-05-07,1081.00,2015,5,7
2015-05-08,1086.60,2015,5,8
2015-05-11,1091.30,2015,5,11
2015-05-12,1089.90,2015,5,12
