date,forecast_90d
2025-09-01,190526.671875
2025-09-02,198499.59375
2025-09-03,208917.515625
2025-09-04,256822.5
2025-09-05,285274.5
2025-09-06,283919.59375
2025-09-07,277902.8125
2025-09-08,195929.71875
2025-09-09,192555.0
2025-09-10,201527.28125
2025-09-11,208374.09375
2025-09-12,287702.0
2025-09-13,299967.875
2025-09-14,283990.5625
2025-09-15,200655.09375
2025-09-16,194445.9375
2025-09-17,201776.71875
2025-09-18,207974.0625
2025-09-19,285062.09375
2025-09-20,303526.375
2025-09-21,287315.40625
2025-09-22,201671.671875
2025-09-23,194407.0
2025-09-24,202103.53125
2025-09-25,208822.5
2025-09-26,286641.59375
2025-09-27,306910.15625
2025-09-28,290454.46875
2025-09-29,202403.28125
2025-09-30,193643.71875
2025-10-01,202564.90625
2025-10-02,209590.84375
2025-10-03,314377.15625
2025-10-04,315597.6875
2025-10-05,322142.25
2025-10-06,283514.8125
2025-10-07,281101.4375
2025-10-08,273724.03125
2025-10-09,277519.3125
2025-10-10,272748.15625
2025-10-11,300020.8125
2025-10-12,293181.78125
2025-10-13,200982.578125
2025-10-14,192163.703125
2025-10-15,201810.0
2025-10-16,211813.234375
2025-10-17,298406.84375
2025-10-18,318045.34375
2025-10-19,301834.5625
2025-10-20,203640.6875
2025-10-21,190932.125
2025-10-22,199783.046875
2025-10-23,211400.75
2025-10-24,296217.9375
2025-10-25,323082.5
2025-10-26,306372.65625
2025-10-27,203777.84375
2025-10-28,189785.5
2025-10-29,198093.375
2025-10-30,211986.625
2025-10-31,298573.65625
2025-11-01,329066.9375
2025-11-02,312540.1875
2025-11-03,204946.046875
2025-11-04,189503.1875
2025-11-05,197384.703125
2025-11-06,212010.28125
2025-11-07,301905.09375
2025-11-08,332603.78125
2025-11-09,315889.75
2025-11-10,204155.78125
2025-11-11,188354.375
2025-11-12,195703.75
2025-11-13,210633.21875
2025-11-14,303811.65625
2025-11-15,335196.4375
2025-11-16,318106.0
2025-11-17,203236.15625
2025-11-18,187295.390625
2025-11-19,194219.84375
2025-11-20,209493.921875
2025-11-21,305566.71875
2025-11-22,336918.4375
2025-11-23,319165.625
2025-11-24,202334.0
2025-11-25,186255.15625
2025-11-26,192853.46875
2025-11-27,208439.296875
2025-11-28,304725.6875
2025-11-29,336785.125
