date,forecast_90d
2025-09-01,9398282240.0
2025-09-02,10348389376.0
2025-09-03,12466384896.0
2025-09-04,15223119872.0
2025-09-05,16183119872.0
2025-09-06,16139318272.0
2025-09-07,15491306496.0
2025-09-08,10549876736.0
2025-09-09,9553660928.0
2025-09-10,9700259840.0
2025-09-11,11819065344.0
2025-09-12,17187850240.0
2025-09-13,18046001152.0
2025-09-14,16490253312.0
2025-09-15,10921908224.0
2025-09-16,9841635328.0
2025-09-17,9806669824.0
2025-09-18,11627974656.0
2025-09-19,16720027648.0
2025-09-20,18019483648.0
2025-09-21,16536615936.0
2025-09-22,10919033856.0
2025-09-23,9829665792.0
2025-09-24,9783429120.0
2025-09-25,11608163328.0
2025-09-26,16793730048.0
2025-09-27,18060187648.0
2025-09-28,16535102464.0
2025-09-29,10891681792.0
2025-09-30,9794145280.0
2025-10-01,9721208832.0
2025-10-02,11587745792.0
2025-10-03,20330301440.0
2025-10-04,19049725952.0
2025-10-05,19922860032.0
2025-10-06,16206688256.0
2025-10-07,15169266688.0
2025-10-08,15463616512.0
2025-10-09,17344907264.0
2025-10-10,16530277376.0
2025-10-11,16911988736.0
2025-10-12,16161897472.0
2025-10-13,10902552576.0
2025-10-14,9663345664.0
2025-10-15,9684066304.0
2025-10-16,11841111040.0
2025-10-17,17722935296.0
2025-10-18,18345854976.0
2025-10-19,16660498432.0
2025-10-20,10951717888.0
2025-10-21,9701740544.0
2025-10-22,9601211392.0
2025-10-23,11462840320.0
2025-10-24,17283350528.0
2025-10-25,18451589120.0
2025-10-26,16750064640.0
2025-10-27,10953555968.0
2025-10-28,9664783360.0
2025-10-29,9569180672.0
2025-10-30,11421462528.0
2025-10-31,17357914112.0
2025-11-01,18556905472.0
2025-11-02,16906183680.0
2025-11-03,11031615488.0
2025-11-04,9675591680.0
2025-11-05,9613874176.0
2025-11-06,11539927040.0
2025-11-07,17673852928.0
2025-11-08,18671974400.0
2025-11-09,16938137600.0
2025-11-10,11026881536.0
2025-11-11,9640536064.0
2025-11-12,9559002112.0
2025-11-13,11501341696.0
2025-11-14,17714722816.0
2025-11-15,18728185856.0
2025-11-16,16934938624.0
2025-11-17,11007863808.0
2025-11-18,9611490304.0
2025-11-19,9505258496.0
2025-11-20,11489742848.0
2025-11-21,17765443584.0
2025-11-22,18773319680.0
2025-11-23,16922055680.0
2025-11-24,10977021952.0
2025-11-25,9576702976.0
2025-11-26,9450970112.0
2025-11-27,11482513408.0
2025-11-28,17805948928.0
2025-11-29,18806220800.0
