id,date,year,month,day,class,stadium,total,away
1,2025-09-21,2025,9,21,하나은행 K리그1 2025,서울 월드컵 경기장,15221,860
2,2025-09-21,2025,9,21,하나은행 K리그1 2025,울산 문수 축구경기장,13201,655
3,2025-09-21,2025,9,21,하나은행 K리그1 2025,포항 스틸야드,9014,137
4,2025-09-21,2025,9,21,하나은행 K리그1 2025,수원 종합 운동장,4005,1085
5,2025-09-21,2025,9,21,하나은행 K리그2 2025,부산 구덕 운동장,2045,111
6,2025-09-21,2025,9,21,하나은행 K리그2 2025,안산 와~스타디움,1933,127
7,2025-09-21,2025,9,21,하나은행 K리그2 2025,천안 종합 운동장,1851,143
8,2025-09-20,2025,9,20,하나은행 K리그1 2025,대전 월드컵 경기장,21045,2546
9,2025-09-20,2025,9,20,하나은행 K리그1 2025,전주 월드컵 경기장,17212,270
10,2025-09-20,2025,9,20,하나은행 K리그2 2025,수원 월드컵 경기장,11318,138
11,2025-09-20,2025,9,20,하나은행 K리그2 2025,인천 축구 전용경기장,10328,338
12,2025-09-20,2025,9,20,하나은행 K리그2 2025,부천 종합 운동장,3033,245
13,2025-09-20,2025,9,20,하나은행 K리그2 2025,탄천 종합 운동장,2183,192
14,2025-09-14,2025,9,14,하나은행 K리그1 2025,안양 종합 운동장,7412,297
15,2025-09-14,2025,9,14,하나은행 K리그1 2025,김천 종합 운동장,3872,1805
16,2025-09-14,2025,9,14,하나은행 K리그1 2025,수원 종합 운동장,3354,408
17,2025-09-14,2025,9,14,하나은행 K리그2 2025,청주 종합 경기장,6862,176
18,2025-09-14,2025,9,14,하나은행 K리그2 2025,광양 전용 구장,3154,41
19,2025-09-14,2025,9,14,하나은행 K리그2 2025,안산 와~스타디움,1430,152
20,2025-09-13,2025,9,13,하나은행 K리그1 2025,전주 월드컵 경기장,22588,2136
21,2025-09-13,2025,9,13,하나은행 K리그1 2025,포항 스틸야드,14166,1132
22,2025-09-13,2025,9,13,하나은행 K리그1 2025,강릉하이원아레나,7572,1000
23,2025-09-13,2025,9,13,하나은행 K리그2 2025,목동 종합 운동장,8299,3369
24,2025-09-13,2025,9,13,하나은행 K리그2 2025,천안 종합 운동장,3850,1228
25,2025-09-13,2025,9,13,하나은행 K리그2 2025,창원 축구센터,2411,57
26,2025-09-13,2025,9,13,하나은행 K리그2 2025,이순신 종합운동장,1751,251
27,2025-09-07,2025,9,7,하나은행 K리그2 2025,부천 종합 운동장,6569,3164
28,2025-09-07,2025,9,7,하나은행 K리그2 2025,김포솔터축구장,2383,55
29,2025-09-07,2025,9,7,하나은행 K리그2 2025,화성종합경기타운,1916,169
30,2025-09-06,2025,9,6,하나은행 K리그2 2025,부산 구덕 운동장,9819,2493
31,2025-09-06,2025,9,6,하나은행 K리그2 2025,광양 전용 구장,3106,67
32,2025-09-06,2025,9,6,하나은행 K리그2 2025,청주 종합 경기장,1875,52
33,2025-09-06,2025,9,6,하나은행 K리그2 2025,탄천 종합 운동장,1671,91
34,2025-08-31,2025,8,31,하나은행 K리그1 2025,서울 월드컵 경기장,20027,3604
35,2025-08-31,2025,8,31,하나은행 K리그1 2025,강릉하이원아레나,8505,546
36,2025-08-31,2025,8,31,하나은행 K리그1 2025,대전 월드컵 경기장,6534,253
37,2025-08-31,2025,8,31,하나은행 K리그2 2025,천안 종합 운동장,2813,102
38,2025-08-31,2025,8,31,하나은행 K리그2 2025,창원 축구센터,2083,41
39,2025-08-30,2025,8,30,하나은행 K리그1 2025,울산 문수 축구경기장,23294,3562
40,2025-08-30,2025,8,30,하나은행 K리그1 2025,대구iM뱅크PARK,7324,403
41,2025-08-30,2025,8,30,하나은행 K리그1 2025,제주 월드컵 경기장,6967,445
42,2025-08-30,2025,8,30,하나은행 K리그2 2025,수원 월드컵 경기장,13736,1202
43,2025-08-30,2025,8,30,하나은행 K리그2 2025,인천 축구 전용경기장,8441,202
44,2025-08-30,2025,8,30,하나은행 K리그2 2025,김포솔터축구장,3005,143
45,2025-08-30,2025,8,30,하나은행 K리그2 2025,부산 구덕 운동장,2559,107
46,2025-08-30,2025,8,30,하나은행 K리그2 2025,안산 와~스타디움,2013,206
47,2025-08-24,2025,8,24,하나은행 K리그1 2025,서울 월드컵 경기장,20737,3715
48,2025-08-24,2025,8,24,하나은행 K리그1 2025,포항 스틸야드,11582,1004
49,2025-08-24,2025,8,24,하나은행 K리그1 2025,안양 종합 운동장,6317,841
50,2025-08-24,2025,8,24,하나은행 K리그2 2025,화성종합경기타운,9307,4881
51,2025-08-24,2025,8,24,하나은행 K리그2 2025,청주 종합 경기장,3067,1093
52,2025-08-24,2025,8,24,하나은행 K리그2 2025,이순신 종합운동장,1621,40
53,2025-08-23,2025,8,23,하나은행 K리그1 2025,대구iM뱅크PARK,7586,249
54,2025-08-23,2025,8,23,하나은행 K리그1 2025,광주 월드컵 경기장,3044,240
55,2025-08-23,2025,8,23,하나은행 K리그1 2025,김천 종합 운동장,2303,314
56,2025-08-23,2025,8,23,하나은행 K리그2 2025,광양 전용 구장,3121,45
57,2025-08-23,2025,8,23,하나은행 K리그2 2025,목동 종합 운동장,2710,329
58,2025-08-23,2025,8,23,하나은행 K리그2 2025,부천 종합 운동장,2671,130
59,2025-08-23,2025,8,23,하나은행 K리그2 2025,탄천 종합 운동장,2119,61
60,2025-08-17,2025,8,17,하나은행 K리그1 2025,광주 월드컵 경기장,3278,710
61,2025-08-17,2025,8,17,하나은행 K리그1 2025,김천 종합 운동장,2667,646
62,2025-08-17,2025,8,17,하나은행 K리그2 2025,천안 종합 운동장,3087,73
63,2025-08-16,2025,8,16,하나은행 K리그1 2025,전주 월드컵 경기장,23460,1254
64,2025-08-16,2025,8,16,하나은행 K리그1 2025,수원 종합 운동장,5702,1713
65,2025-08-16,2025,8,16,하나은행 K리그2 2025,인천 축구 전용경기장,9352,452
66,2025-08-16,2025,8,16,하나은행 K리그2 2025,김포솔터축구장,6275,2220
67,2025-08-16,2025,8,16,하나은행 K리그2 2025,창원 축구센터,2391,126
68,2025-08-16,2025,8,16,하나은행 K리그2 2025,청주 종합 경기장,1517,117
69,2025-08-15,2025,8,15,하나은행 K리그1 2025,안양 종합 운동장,8122,1218
70,2025-08-15,2025,8,15,하나은행 K리그1 2025,제주 월드컵 경기장,8093,506
71,2025-08-15,2025,8,15,하나은행 K리그2 2025,광양 전용 구장,3266,141
72,2025-08-15,2025,8,15,하나은행 K리그2 2025,안산 와~스타디움,1598,218
73,2025-08-10,2025,8,10,하나은행 K리그1 2025,포항 스틸야드,10020,337
74,2025-08-10,2025,8,10,하나은행 K리그1 2025,대전 월드컵 경기장,9022,700
75,2025-08-10,2025,8,10,하나은행 K리그2 2025,목동 종합 운동장,2607,97
76,2025-08-10,2025,8,10,하나은행 K리그2 2025,광양 전용 구장,2439,57
77,2025-08-10,2025,8,10,하나은행 K리그2 2025,청주 종합 경기장,2425,174
78,2025-08-09,2025,8,9,하나은행 K리그1 2025,울산 문수 축구경기장,10510,222
79,2025-08-09,2025,8,9,하나은행 K리그1 2025,강릉하이원아레나,9415,115
80,2025-08-09,2025,8,9,하나은행 K리그2 2025,수원 월드컵 경기장,11348,221
81,2025-08-09,2025,8,9,하나은행 K리그2 2025,부산 구덕 운동장,3852,1274
82,2025-08-09,2025,8,9,하나은행 K리그2 2025,탄천 종합 운동장,1939,201
83,2025-08-09,2025,8,9,하나은행 K리그2 2025,이순신 종합운동장,1211,49
84,2025-08-08,2025,8,8,하나은행 K리그1 2025,전주 월드컵 경기장,21346,701
85,2025-08-08,2025,8,8,하나은행 K리그1 2025,서울 월드컵 경기장,15778,845
86,2025-08-02,2025,8,2,하나은행 K리그1 2025,울산 문수 축구경기장,10197,316
87,2025-08-02,2025,8,2,하나은행 K리그2 2025,천안 종합 운동장,9970,4150
88,2025-08-02,2025,8,2,하나은행 K리그2 2025,목동 종합 운동장,6612,2760
89,2025-08-02,2025,8,2,하나은행 K리그2 2025,광양 전용 구장,3036,125
90,2025-08-02,2025,8,2,하나은행 K리그2 2025,부천 종합 운동장,2405,231
91,2025-08-02,2025,8,2,하나은행 K리그2 2025,창원 축구센터,2089,331
92,2025-08-02,2025,8,2,하나은행 K리그2 2025,화성종합경기타운,1522,196
93,2025-08-02,2025,8,2,하나은행 K리그2 2025,안산 와~스타디움,1403,144
94,2025-07-27,2025,7,27,하나은행 K리그1 2025,대전 월드컵 경기장,11029,1904
95,2025-07-27,2025,7,27,하나은행 K리그1 2025,대구iM뱅크PARK,10153,622
96,2025-07-27,2025,7,27,하나은행 K리그1 2025,강릉하이원아레나,9144,717
97,2025-07-27,2025,7,27,하나은행 K리그2 2025,수원 월드컵 경기장,11929,285
98,2025-07-27,2025,7,27,하나은행 K리그2 2025,인천 축구 전용경기장,7392,175
99,2025-07-27,2025,7,27,하나은행 K리그2 2025,탄천 종합 운동장,1587,152
100,2025-07-26,2025,7,26,하나은행 K리그1 2025,광주 월드컵 경기장,9544,3803
101,2025-07-26,2025,7,26,하나은행 K리그1 2025,수원 종합 운동장,8027,2088
102,2025-07-26,2025,7,26,하나은행 K리그1 2025,김천 종합 운동장,1922,154
103,2025-07-26,2025,7,26,하나은행 K리그2 2025,부산 구덕 운동장,2032,195
104,2025-07-26,2025,7,26,하나은행 K리그2 2025,천안 종합 운동장,1598,74
105,2025-07-26,2025,7,26,하나은행 K리그2 2025,이순신 종합운동장,1539,115
106,2025-07-26,2025,7,26,하나은행 K리그2 2025,청주 종합 경기장,1196,133
107,2025-07-23,2025,7,23,하나은행 K리그1 2025,전주 월드컵 경기장,13795,204
108,2025-07-23,2025,7,23,하나은행 K리그1 2025,울산 문수 축구경기장,8127,450
109,2025-07-23,2025,7,23,하나은행 K리그1 2025,제주 월드컵 경기장,7084,816
110,2025-07-22,2025,7,22,하나은행 K리그1 2025,포항 스틸야드,8260,81
111,2025-07-22,2025,7,22,하나은행 K리그1 2025,안양 종합 운동장,5368,465
112,2025-07-22,2025,7,22,하나은행 K리그1 2025,광주 월드컵 경기장,1710,48
113,2025-07-20,2025,7,20,하나은행 K리그1 2025,서울 월드컵 경기장,24047,2680
114,2025-07-20,2025,7,20,하나은행 K리그2 2025,창원 축구센터,3214,561
115,2025-07-20,2025,7,20,하나은행 K리그2 2025,부천 종합 운동장,2297,159
116,2025-07-20,2025,7,20,하나은행 K리그2 2025,청주 종합 경기장,1939,149
117,2025-07-19,2025,7,19,하나은행 K리그1 2025,포항 스틸야드,13973,1132
118,2025-07-19,2025,7,19,하나은행 K리그1 2025,강릉하이원아레나,10207,900
119,2025-07-19,2025,7,19,하나은행 K리그1 2025,제주 월드컵 경기장,7120,1065
120,2025-07-19,2025,7,19,하나은행 K리그2 2025,광양 전용 구장,5945,1893
121,2025-07-19,2025,7,19,하나은행 K리그2 2025,김포솔터축구장,2779,108
122,2025-07-19,2025,7,19,하나은행 K리그2 2025,목동 종합 운동장,2690,218
123,2025-07-19,2025,7,19,하나은행 K리그2 2025,화성종합경기타운,1293,154
124,2025-07-18,2025,7,18,하나은행 K리그1 2025,대구iM뱅크PARK,8562,232
125,2025-07-18,2025,7,18,하나은행 K리그1 2025,수원 종합 운동장,2036,327
126,2025-07-13,2025,7,13,하나은행 K리그2 2025,인천 축구 전용경기장,9326,252
127,2025-07-13,2025,7,13,하나은행 K리그2 2025,부천 종합 운동장,2544,200
128,2025-07-13,2025,7,13,하나은행 K리그2 2025,안산 와~스타디움,1743,143
129,2025-07-12,2025,7,12,하나은행 K리그1 2025,울산 문수 축구경기장,14555,2038
130,2025-07-12,2025,7,12,하나은행 K리그2 2025,수원 월드컵 경기장,12769,392
131,2025-07-12,2025,7,12,하나은행 K리그2 2025,광양 전용 구장,2851,168
132,2025-07-12,2025,7,12,하나은행 K리그2 2025,부산 구덕 운동장,2606,132
133,2025-07-12,2025,7,12,하나은행 K리그2 2025,천안 종합 운동장,2218,136
134,2025-07-06,2025,7,6,하나은행 K리그2 2025,화성종합경기타운,2013,316
135,2025-07-06,2025,7,6,하나은행 K리그2 2025,탄천 종합 운동장,1979,129
136,2025-07-06,2025,7,6,하나은행 K리그2 2025,김포솔터축구장,1821,191
137,2025-07-05,2025,7,5,하나은행 K리그2 2025,이순신 종합운동장,7382,4332
138,2025-07-05,2025,7,5,하나은행 K리그2 2025,광양 전용 구장,5149,990
139,2025-07-05,2025,7,5,하나은행 K리그2 2025,창원 축구센터,2157,71
140,2025-07-05,2025,7,5,하나은행 K리그2 2025,청주 종합 경기장,1659,127
141,2025-06-29,2025,6,29,하나은행 K리그1 2025,서울 월드컵 경기장,20036,2078
142,2025-06-29,2025,6,29,하나은행 K리그2 2025,수원 월드컵 경기장,11467,423
143,2025-06-29,2025,6,29,하나은행 K리그2 2025,김포솔터축구장,5298,2220
144,2025-06-29,2025,6,29,하나은행 K리그2 2025,청주 종합 경기장,1550,101
145,2025-06-28,2025,6,28,하나은행 K리그1 2025,안양 종합 운동장,7253,635
146,2025-06-28,2025,6,28,하나은행 K리그1 2025,수원 종합 운동장,3401,962
147,2025-06-28,2025,6,28,하나은행 K리그2 2025,부천 종합 운동장,2429,69
148,2025-06-28,2025,6,28,하나은행 K리그2 2025,안산 와~스타디움,1854,184
149,2025-06-28,2025,6,28,하나은행 K리그2 2025,이순신 종합운동장,1784,115
150,2025-06-28,2025,6,28,하나은행 K리그2 2025,화성종합경기타운,1519,267
151,2025-06-27,2025,6,27,하나은행 K리그1 2025,대전 월드컵 경기장,7097,177
152,2025-06-27,2025,6,27,하나은행 K리그1 2025,김천 종합 운동장,3840,1260
153,2025-06-22,2025,6,22,하나은행 K리그1 2025,광주 월드컵 경기장,3055,518
