id,raw_no,category,year,event_name,period,start_date,end_date,venue,host,organizer,phone,fax,email,homepage
1,1,이벤트,2025,Cigarettes After Sex 내한공연,2025.01.07~2025.01.07,2025-01-07,2025-01-07,전시홀 2,(주)라이브네이션코리아," ",-1544-1555~,--,info@livenation.kr," "
2,2,전시회,2025,2025 까사 가구쇼,2025.01.09~2025.01.12,2025-01-09,2025-01-12,전시홀 3,네모전람(주),네모전람(주),02-786-9231~,02-786-9233,parkjpum@gmail.com,kgugashow.co.kr
3,3,전시회,2025,카페디저트페어,2025.01.16~2025.01.19,2025-01-16,2025-01-19,전시홀 7A,(주)유아림,(주)유아림,02-2236-2715~,--,cdf@yuarim.com,https://www.cafedessertfair.com/main
4,4,전시회,2025,마이펫페어 2025 일산 Part1,2025.01.17~2025.01.19,2025-01-17,2025-01-19,전시홀 3,주식회사 마이팀페어스," ",02-6204-3577~,02-6008-3545,mypetfair@naver.com,https://www.mypetfair.co.kr/
5,5,이벤트,2025,번아트 페스티벌,2025.02.01~2025.02.02,2025-02-01,2025-02-02,전시홀 5,주식회사 번아트," ",050-6754-3193~,--,burnartkr@naver.com,https://m.site.naver.com/1B2gN
6,6,이벤트,2025,제6회 일러스타 페스,2025.02.08~2025.02.09,2025-02-08,2025-02-09,"전시홀 2,전시홀 3",스타라이크 주식회사,시나리움 아카데미,070-8287-2271~,--," ",https://illustar.net/
7,7,전시회,2025,2025 코리아빌드위크,2025.02.19~2025.02.22,2025-02-19,2025-02-22,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5",(주)메쎄이상," ",-1600-5340~,02-6121-6401,koreabuild@esgroup.net,https://koreabuild.co.kr/kintex/
8,8,전시회,2025,제49회 맘앤베이비엑스포,2025.02.27~2025.03.02,2025-02-27,2025-03-02,전시홀 1,(주)유아림,(주)유아림,02-2236-2771~,070-8224-9006,ddakul@yuarim.com,www.momnbabyexpo.co.kr
9,9,전시회,2025,경기국제보트쇼,2025.02.28~2025.03.02,2025-02-28,2025-03-02,"전시홀 3A,전시홀 4,전시홀 5","해양수산부, 경기도","킨텍스, 한국마리나협회, 한국해양레저산업협회",-1670-8785~,--,kibs@kintex.com,https://www.koreaboatshow.or.kr/main.do
10,10,전시회,2025,2025 한국국제낚시박람회,2025.02.28~2025.03.02,2025-02-28,2025-03-02,전시홀 2,(사)한국낚시협회,(주)광륭,02-599-1582~,--,info@kofish.kr,www.kofish.kr
11,11,전시회,2025,코리아 나라장터 엑스포 2025,2025.03.05~2025.03.07,2025-03-05,2025-03-07,"전시홀 1,전시홀 2,전시홀 3","조달청, 경기도, 고양특례시","정부조달기술진흥협회, 킨텍스, 정부조달마스협회, 정부조달수출진흥협회, 동반성장위원회",031-995-8283~,--,koppex@koppex.com,www.koppex.com
12,12,전시회,2025,2025 펫쇼코리아(상),2025.03.07~2025.03.09,2025-03-07,2025-03-09,전시홀 7,(주)미래전람," ",02-2238-0340~,02-2238-0348,pet_show@naver.com,www.pet-show.co.kr
13,13,전시회,2025,제28회 국제플라스틱 &middot; 고무산업전시회 (KOPLAS 2025) / 한국 소재 &middot; 복합재료 및 장비전 (K-Mtech 2025),2025.03.11~2025.03.14,2025-03-11,2025-03-14,"전시홀 4,전시홀 5",(주)한국이앤엑스 / 한국합성수지가공기계공업협동조합," ",02-551-0102~,02-551-0103,koplas@koplas.com,www.koplas.com
14,14,전시회,2025,제27회 국제금형 및 관련산업전,2025.03.11~2025.03.14,2025-03-11,2025-03-14,"전시홀 2,전시홀 3",한국금형산업협동조합,한국금형산업협동조합,02-783-1711~,02-784-5937,koreamold@koreamold.com,www.intermoldkorea.com
15,15,전시회,2025,2025 캠핑&피크닉페어,2025.03.13~2025.03.16,2025-03-13,2025-03-16,"전시홀 7,전시홀 8",㈜가족사랑전람,"㈜가족사랑전람, 대한무역투자진흥공사(KOTRA)",02-796-8710~,--,allfair@allfair.co.kr,https://www.campingfair.co.kr/
16,16,전시회,2025,제20회 JTBC GOLF &times; 더골프쇼 코리아 시즌1,2025.03.13~2025.03.16,2025-03-13,2025-03-16,전시홀 10A,"JTBC GOLF, ㈜이엑스스포테인먼트"," ",02-356-4309~,0505-356-4309,thegolfshow@naver.com,http://www.thegolfshow.co.kr
