date,passengers,sales_amount,domestic_pax_total_daily,intl_pax_total_daily,pax_total_daily,avg_temp,precipitation,daily_device_installs,daily_avg_rating,bexco_events_count,coex_events_count,kintex_events_count,games_baseball,games_soccer,concerts_events_count,dow,is_weekend,is_holiday,is_substitute
2020-08-01,165559,8870234500,248634.23315111388,10295.911047999793,258930.14419911368,25.3,39.1,14304,3.9,2.0,3.0,0.0,5.0,6.0,0.0,6,1,0,0
2020-08-02,173071,9405852100,259915.65161481063,10763.073109818084,270678.72472462873,24.9,31.4,12792,4.45,2.0,2.0,0.0,5.0,5.0,0.0,7,1,0,0
2020-08-03,140389,7597622000,210834.2727236316,8730.61963479873,219564.89235843034,25.0,102.6,14555,3.84,2.0,1.0,0.0,2.0,0.0,0.0,1,0,0,0
2020-08-04,129427,6911552200,194371.6916268473,8048.906306570281,202420.5979334176,27.0,3.9,14271,4.15,2.0,1.0,0.0,5.0,0.0,0.0,2,0,0,0
2020-08-05,131858,7022950600,198022.534050336,8200.087213423352,206222.62126375936,26.5,18.5,14022,3.9,2.0,1.0,0.0,5.0,0.0,0.0,3,0,0,0
2020-08-06,130023,7080989500,195266.7562440416,8085.970815202298,203352.72705924392,24.1,75.7,14006,3.57,2.0,7.0,0.0,5.0,0.0,0.0,4,0,0,0
2020-08-07,173364,9473187600,260355.6749920555,10781.29442026973,271136.96941232524,24.3,0.0,15012,4.0,3.0,8.0,0.0,5.0,1.0,2.0,5,0,0,0
2020-08-08,143550,8470492000,215581.41912455618,8927.198345848732,224508.61747040492,24.2,19.1,12235,3.24,3.0,8.0,0.0,5.0,5.0,2.0,6,1,0,0
2020-08-09,156735,9244649300,235382.47110057346,9747.15731617277,245129.6284167462,24.9,50.3,11261,4.31,3.0,4.0,0.0,5.0,4.0,2.0,7,1,0,0
2020-08-10,126716,7087439100,190300.34904762983,7880.312543312908,198180.66159094273,26.5,44.6,15141,4.56,2.0,1.0,0.0,3.0,1.0,1.0,1,0,0,0
2020-08-11,119267,6079242500,179113.54311897207,7417.068374185585,186530.61149315766,24.6,97.0,19906,4.54,2.0,1.0,0.0,5.0,0.0,1.0,2,0,0,0
2020-08-12,130041,6553612100,195293.7883969099,8087.090213114003,203380.87861002388,27.2,64.8,20592,3.96,2.0,2.0,0.0,5.0,0.0,1.0,3,0,0,0
2020-08-13,143418,7349043100,215383.18333685547,8918.989427829561,224302.17276468503,28.0,32.599999999999994,38892,3.63,2.0,4.0,2.0,5.0,0.0,1.0,4,0,0,0
