id,travel_date,line_name,direction,passengers,sales_amount,sales_count,refund_count,refund_amount,seats,train_operations,inserted_at,updated_at
5,2020-08-01,강릉선,상행,7592,285217000,7576,1529,36633000,11480,28,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
6,2020-08-01,강릉선,하행,9574,394256700,9890,1855,40235200,11480,28,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
7,2020-08-01,경부선,상행,34535,1917353800,32435,5842,207406000,57845,63,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
8,2020-08-01,경부선,하행,43455,2537915700,39441,7630,264213700,55935,61,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
9,2020-08-01,경전선,상행,6466,332168800,6631,1233,39605200,9515,16,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
10,2020-08-01,경전선,하행,9474,499721000,9366,1594,48249800,9515,16,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
11,2020-08-01,구동해선,상행,5454,250253300,5274,992,26827900,7060,14,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
12,2020-08-01,구동해선,하행,7146,367148600,6898,1278,38780800,7060,14,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
13,2020-08-01,전라선,상행,8542,442218100,8736,1709,52767400,10441,17,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
14,2020-08-01,전라선,하행,10538,586642100,10988,2063,59627000,10441,17,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
15,2020-08-01,호남선,상행,9598,512116900,9880,1847,60386700,19106,29,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
16,2020-08-01,호남선,하행,13185,745222500,13169,2530,85346200,19581,29,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
17,2020-08-02,강릉선,상행,9736,427529200,10415,3347,81248000,11480,28,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
18,2020-08-02,강릉선,하행,6977,262443600,7129,1713,37644900,11070,27,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
19,2020-08-02,경부선,상행,45349,2769207800,41231,11100,444068600,56890,62,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
20,2020-08-02,경부선,하행,37154,2041728100,31845,7865,287584100,54980,60,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
21,2020-08-02,경전선,상행,10352,546441800,9679,2634,91664000,9480,16,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
22,2020-08-02,경전선,하행,6635,341109800,6717,1607,51396100,9515,16,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
23,2020-08-02,구동해선,상행,7773,378922600,7044,1947,62552600,7025,14,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
24,2020-08-02,구동해선,하행,5276,247699300,5064,1202,35508100,7025,14,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
25,2020-08-02,전라선,상행,11138,599472500,11075,3058,100320300,10476,17,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
26,2020-08-02,전라선,하행,8415,440608200,8612,2136,66473400,10066,16,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
27,2020-08-02,호남선,상행,13675,794022900,13824,4028,141734100,19036,29,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
28,2020-08-02,호남선,하행,10591,556666300,10425,2575,84998100,19581,29,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
29,2020-08-03,강릉선,상행,6322,257821000,6749,2215,59208700,7380,18,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
30,2020-08-03,강릉선,하행,5055,207929800,5526,1717,45592000,7380,18,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
31,2020-08-03,경부선,상행,35064,2042817200,31351,8338,343185100,48061,54,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
32,2020-08-03,경부선,하행,32936,1869478000,28059,7383,286734000,47106,53,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
33,2020-08-03,경전선,상행,6190,345223600,6192,1572,59144500,8015,12,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
34,2020-08-03,경전선,하행,5976,325052400,5756,1578,56366900,8015,12,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
35,2020-08-03,구동해선,상행,5824,294586500,5472,1419,49088000,7025,14,2025-10-05 05:06:38.227643+00,2025-10-05 05:06:38.227643+00
