id,route,station,date,avg_temp,min_temp,max_temp,precipitation,snow_depth,new_snow_depth,wind_speed,fog_hours,year_month
1,경부선,서울역,2020-01-01,-2.20,-6.50,0.30,0.1,0.0,0.0,0.60,,2020-01
2,경부선,서울역,2020-01-02,1.00,-0.70,3.80,,,,1.20,,2020-01
3,경부선,서울역,2020-01-03,-0.10,-3.40,4.60,,,,1.70,,2020-01
4,경부선,서울역,2020-01-04,1.20,-2.80,6.10,,,,1.90,,2020-01
5,경부선,서울역,2020-01-05,1.30,-3.20,6.60,,,,1.10,,2020-01
6,경부선,서울역,2020-01-06,3.10,0.60,4.60,1.8,,,3.10,,2020-01
7,경부선,서울역,2020-01-07,6.30,4.20,7.70,46.3,,,4.00,,2020-01
8,경부선,서울역,2020-01-08,2.40,-0.40,8.90,11.6,,,3.30,,2020-01
9,경부선,서울역,2020-01-09,-1.20,-3.10,2.00,,,,2.30,,2020-01
10,경부선,서울역,2020-01-10,-0.60,-4.30,4.20,,,,1.50,,2020-01
11,경부선,서울역,2020-01-11,-0.10,-2.60,3.90,,,,1.90,,2020-01
12,경부선,서울역,2020-01-12,-1.00,-3.50,2.80,,,,2.40,,2020-01
13,경부선,서울역,2020-01-13,-2.90,-4.70,0.20,,,,2.30,,2020-01
14,경부선,서울역,2020-01-14,-2.30,-5.70,2.60,,,,1.60,,2020-01
15,경부선,서울역,2020-01-15,-2.70,-6.40,2.20,,,,1.90,,2020-01
16,경부선,서울역,2020-01-16,-1.70,-5.50,3.20,,,,1.60,,2020-01
17,경부선,서울역,2020-01-17,-0.60,-4.80,4.90,,,,1.50,,2020-01
18,경부선,서울역,2020-01-18,0.30,-4.10,5.90,,,,1.80,,2020-01
19,경부선,서울역,2020-01-19,1.90,-0.40,5.30,0.6,0.3,0.3,2.20,,2020-01
20,경부선,서울역,2020-01-20,0.70,-3.30,5.50,,,,2.50,,2020-01
21,경부선,서울역,2020-01-21,-0.40,-5.60,5.50,,,,1.40,,2020-01
22,경부선,서울역,2020-01-22,3.00,-0.10,7.80,,,,1.70,,2020-01
23,경부선,서울역,2020-01-23,4.60,0.00,9.90,,,,2.00,,2020-01
24,경부선,서울역,2020-01-24,2.80,-1.30,7.40,,,,1.70,,2020-01
25,경부선,서울역,2020-01-25,4.30,0.60,8.80,,,,1.50,,2020-01
26,경부선,서울역,2020-01-26,5.50,-0.20,11.90,,,,2.70,,2020-01
27,경부선,서울역,2020-01-27,5.90,4.80,7.50,0.1,,,4.60,,2020-01
28,경부선,서울역,2020-01-28,6.80,4.30,9.90,0.0,,,2.60,,2020-01
29,경부선,서울역,2020-01-29,6.00,3.20,9.60,,,,2.10,,2020-01
30,경부선,서울역,2020-01-30,5.20,1.40,10.40,,,,1.80,,2020-01
31,경부선,서울역,2020-01-31,3.90,1.40,8.90,0.0,,,2.30,,2020-01
32,경부선,서울역,2020-02-01,2.60,-1.20,7.60,,,,1.70,,2020-02
33,경부선,서울역,2020-02-02,1.50,-2.10,5.30,,,,1.80,,2020-02
34,경부선,서울역,2020-02-03,-0.40,-2.90,3.00,0.0,,,3.10,,2020-02
35,경부선,서울역,2020-02-04,-1.60,-6.00,3.90,1.7,0.8,0.8,2.80,,2020-02
36,경부선,서울역,2020-02-05,-8.30,-11.00,-4.90,,0.7,,3.30,,2020-02
37,경부선,서울역,2020-02-06,-6.40,-11.80,0.40,,,,1.90,,2020-02
38,경부선,서울역,2020-02-07,-1.70,-7.20,2.20,0.0,,,2.00,,2020-02
39,경부선,서울역,2020-02-08,-0.10,-2.30,3.70,0.0,,,3.00,,2020-02
40,경부선,서울역,2020-02-09,-0.50,-5.60,4.10,0.0,,,2.00,,2020-02
41,경부선,서울역,2020-02-10,4.00,-0.70,9.60,0.0,,,1.70,,2020-02
42,경부선,서울역,2020-02-11,6.80,-0.50,14.60,,,,1.60,,2020-02
43,경부선,서울역,2020-02-12,7.40,6.50,8.20,6.7,,,2.20,,2020-02
